date,market,turnover_krw,close,institution_net_x,individual_net_x,foreign_net_x,individual_ratio,foreign_ratio,institution_ratio,institution_net_y,individual_net_y,foreign_net_y,institution_net,individual_net,foreign_net,turnover_ma20,turnover_std20,turnover_ratio20,turnover_z20,turnover_chg_5d,turnover_chg_20d,ret_1d,ret_5d,ret_20d
2022-01-17,KOSDAQ,7852818000000.0,957.9,,,,,,,,,,,,,10229275818181.818,1319003785299.3308,0.7676807370901241,-1.8017065945284698,-0.17652614120832932,,-0.013887316114022163,-0.022929884330565753,
2022-01-17,KOSPI,10396513000000.0,2890.1,,,,,,,,,,,,,11098935818181.818,1869740968996.6584,0.9367125975238871,-0.3756792143024779,-0.00012646872019805855,,-0.010890099660497254,-0.01251230045921714,
2022-01-18,KOSDAQ,8179885000000.0,943.94,,,,,,,,,,,,,10058493250000.0,1389823806846.499,0.8132316438150415,-1.3516880634406094,-0.16127511762564106,,-0.01457354629919605,-0.02678571428571419,
2022-01-18,KOSPI,10040965000000.0,2864.24,,,,,,,,,,,,,11010771583333.334,1808699682994.1096,0.9119220141846098,-0.5361899448823492,-0.056880158834671346,,-0.008947787273796748,-0.021568774808873536,
2022-01-19,KOSDAQ,7749004000000.0,933.9,,,,,,,,,,,,,9880840230769.23,1476797357250.1492,0.7842454506924796,-1.443553660428258,-0.22368966516988154,,-0.010636269254401864,-0.057932272805221285,
2022-01-19,KOSPI,9649067000000.0,2842.28,,,,,,,,,,,,,10906025076923.076,1772402925181.3513,0.8847464527123843,-0.7091830300350384,-0.11438701303326171,,-0.007666955283076704,-0.04380180859080629,
2022-01-20,KOSDAQ,7188207000000.0,958.7,,,,,,,,,,,,,9688509285714.285,1590925280700.9666,0.7419311669132647,-1.5716025862714584,-0.2843970800896688,,0.026555305707249177,-0.024968217645563118,
2022-01-20,KOSPI,8872018000000.0,2862.68,,,,,,,,,,,,,10760738857142.857,1787534123182.8,0.8244803742366495,-1.0566068824352786,-0.22575842053641948,,0.007177336504496257,-0.033560762839751734,
2022-01-21,KOSDAQ,7949730000000.0,942.85,,,,,,,,,,,,,9572590666666.666,1597438993801.7153,0.8304679764154407,-1.0159140179772688,-0.1457133664614375,,-0.016532804839887394,-0.029380578346493103,
2022-01-21,KOSPI,10718108000000.0,2834.29,,,,,,,,,,,,,10757896800000.0,1722546150547.132,0.996301433194637,-0.023098829594412833,-0.007558516697349527,,-0.00991728031075767,-0.029990554156171356,
2022-01-24,KOSDAQ,7938016000000.0,915.4,,,,,,,,,,,,,9470429750000.0,1596458652548.55,0.8381896291453933,-0.9598831435776239,0.010849353696978481,,-0.0291138569231586,-0.044367888088526986,
2022-01-24,KOSPI,9304491000000.0,2792.0,,,,,,,,,,,,,10667058937500.0,1703343330315.6658,0.8722639534023855,-0.7999373427830825,-0.10503733319046493,,-0.014920844373723208,-0.03394346216393895,
2022-01-25,KOSDAQ,8856272000000.0,889.44,,,,,,,,,,,,,9434302823529.412,1552924771790.8467,0.938730944475538,-0.3722207501802047,0.08268905980952046,,-0.028359187240550532,-0.05773672055427248,
2022-01-25,KOSPI,11700945000000.0,2720.39,,,,,,,,,,,,,10727875764705.883,1668208624434.1013,1.0907047449687535,0.5833018850530203,0.16532076349235347,,-0.02564828080229231,-0.05022274669720417,
2022-01-26,KOSDAQ,8871976000000.0,882.09,,,,,,,,,,,,,9403062444444.445,1512377359204.617,0.9435198428615962,-0.3511600072641606,0.14491823723410135,,-0.008263626551538117,-0.05547703180212005,
2022-01-26,KOSPI,8978727000000.0,2709.24,,,,,,,,,,,,,10630700833333.334,1670087497251.3992,0.8446034876502733,-0.9891540629171368,-0.06947200180079582,,-0.004098677027926212,-0.0468074925763825,
2022-01-27,KOSDAQ,9037590000000.0,849.23,,,,,,,,,,,,,9383827052631.578,1472156200286.8242,0.9631027883730572,-0.23519043194201797,0.2572801534513405,,-0.03725243455883187,-0.11418587670804214,
